date_bimonth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223
2016-04-15,,,,,,,,,,0.09090909090909091,,,,,,,0.030303030303030304,,0.12121212121212122,,0.030303030303030304,,,0.09090909090909091,,,,0.030303030303030304,,,,,,,,,,,,,,,,,,0.030303030303030304,0.030303030303030304,,,,,,,,,,,0.030303030303030304,,0.030303030303030304,,0.06060606060606061,,,,,0.030303030303030304,,0.06060606060606061,,,,,0.030303030303030304,,,,,0.06060606060606061,,,,,0.030303030303030304,0.030303030303030304,,,0.030303030303030304,,,,,,,,,,,,0.030303030303030304,,,,,0.030303030303030304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030303030303030304,,,,,0.030303030303030304,,,,,,0.030303030303030304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-30,,,,,,,0.07142857142857142,,,,,,,,0.07142857142857142,0.07142857142857142,,,0.03571428571428571,,,,,0.03571428571428571,,,,,,0.03571428571428571,,,,,,,,,0.07142857142857142,,,,0.07142857142857142,,,,0.03571428571428571,,,,,,,,,,,0.03571428571428571,,,,0.07142857142857142,,,,,0.07142857142857142,,0.10714285714285714,,,,,,,,,,0.03571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,0.03571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03571428571428571,,,,,,0.03571428571428571,,,,,,0.03571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03571428571428571,,,,,,,,,,,,,,,,,,,,
2016-05-15,,,,0.07692307692307693,,,0.02564102564102564,0.07692307692307693,,,,,,0.10256410256410256,,,,,,,,,,0.02564102564102564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,0.05128205128205128,,,0.02564102564102564,,,,,,,0.02564102564102564,0.07692307692307693,,,,,,,,,0.02564102564102564,,,,,,,,,,,,,,,,,,,,,,,,0.02564102564102564,,,,,,,,,,,,,,,,,,,,,,0.02564102564102564,,,,,,,0.02564102564102564,,,,,,,,,,,,,,,,,,,,,,0.02564102564102564,0.2564102564102564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05128205128205128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-31,,,,0.07142857142857142,,,0.023809523809523808,0.07142857142857142,,,0.023809523809523808,,,,,,,,0.023809523809523808,,0.023809523809523808,,,0.023809523809523808,0.023809523809523808,,,,,,,,,,,,,,,,0.023809523809523808,,,,0.047619047619047616,,,,,,,,,,,,,,,0.023809523809523808,,,,,,,0.09523809523809523,,,,,,,,,0.047619047619047616,,,,,,,,,,,,0.023809523809523808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11904761904761904,,,,,,,,,,,,,,,,,,,,,,,0.19047619047619047,,,,,,,,,,,,,,,,,,,,0.047619047619047616,,,,,,,,,,,,,,,,,0.07142857142857142,,,,,,,,,0.023809523809523808,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-15,,,0.03571428571428571,0.14285714285714285,,,,,0.03571428571428571,,,,,,,0.03571428571428571,,,0.07142857142857142,0.07142857142857142,,,,0.07142857142857142,,,,0.07142857142857142,,,,,,,,,,,0.07142857142857142,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03571428571428571,,,,,,,,,0.07142857142857142,0.03571428571428571,,,0.03571428571428571,,,,,,,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,,,0.05405405405405406,,,0.02702702702702703,,0.02702702702702703,,,,,,,0.05405405405405406,,0.02702702702702703,0.08108108108108109,0.02702702702702703,,,,0.08108108108108109,0.02702702702702703,0.02702702702702703,,,,,,,0.02702702702702703,0.02702702702702703,,,,,0.02702702702702703,0.02702702702702703,,,,0.02702702702702703,,,,,,,0.02702702702702703,,,,0.02702702702702703,,,,0.02702702702702703,,,,,,,,,,,0.02702702702702703,,0.05405405405405406,,,,,,,,,0.02702702702702703,,,,,,,,,,,0.13513513513513514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08108108108108109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02702702702702703,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-15,0.027777777777777776,,,0.16666666666666666,,,,,,,,,,,0.1388888888888889,0.027777777777777776,,0.027777777777777776,,0.08333333333333333,,,,0.05555555555555555,0.027777777777777776,,,,,,,,,,,0.027777777777777776,,,,,,,,,,,,,,,,,,,0.05555555555555555,,,,0.05555555555555555,,,,,,,,0.027777777777777776,,,0.027777777777777776,,,,,,,,,,,,,,,,,,,,0.027777777777777776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027777777777777776,,,,,,,,,,,,,,,0.027777777777777776,,,0.08333333333333333,,,,,,0.027777777777777776,,,,,,,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-31,0.047619047619047616,,,0.23809523809523808,,,,,,0.023809523809523808,,,,,0.11904761904761904,,,,,0.023809523809523808,,,,,0.023809523809523808,,,,,,0.023809523809523808,,,,,,,,,,,,,,0.023809523809523808,,0.09523809523809523,,,,,,,,,,,,0.047619047619047616,,,0.047619047619047616,,,,,0.023809523809523808,,0.023809523809523808,,,,,,,,,0.023809523809523808,,,,,0.023809523809523808,,0.023809523809523808,,,,0.023809523809523808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023809523809523808,,,,,,,,,0.047619047619047616,,,0.023809523809523808,,,,,0.023809523809523808,,,,,,,,0.023809523809523808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-15,,,,0.05405405405405406,0.02702702702702703,,,0.02702702702702703,,0.08108108108108109,0.10810810810810811,0.05405405405405406,0.02702702702702703,,,,,,0.10810810810810811,0.02702702702702703,,,,,,0.02702702702702703,,0.10810810810810811,,,,,,,,,,,,0.05405405405405406,,,0.02702702702702703,,,,,,,,,,,,,,,,,,,,,,,,0.02702702702702703,,,0.08108108108108109,,,,,0.02702702702702703,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02702702702702703,,,,,,,,,,,,,,,,,0.02702702702702703,,,,,,,,,0.05405405405405406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02702702702702703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-31,,,,0.058823529411764705,,,,0.058823529411764705,,0.11764705882352941,,0.08823529411764706,,,,,,,0.029411764705882353,,,,,,,,,0.20588235294117646,0.058823529411764705,,,,,,,,,,,0.058823529411764705,,,0.029411764705882353,,,0.029411764705882353,0.029411764705882353,,,,,0.029411764705882353,,,,,,0.029411764705882353,,,,,,,,,,,,0.029411764705882353,,,,,,,,,0.029411764705882353,,,,,,,,,,,,0.029411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029411764705882353,0.029411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029411764705882353,,,,,,,
2016-09-15,,,,,,,,0.08695652173913043,,,,,,,,,,,,0.08695652173913043,,0.043478260869565216,,0.043478260869565216,0.08695652173913043,,,0.043478260869565216,,,,,,,,,,,,,,,,,,,0.08695652173913043,,,,,,,,0.043478260869565216,,,,,0.043478260869565216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13043478260869565,,,,,,,,,,,,,0.08695652173913043,,,,,,,,,,,,,,,,,,,,,,,0.13043478260869565,,,,,,,,,,0.043478260869565216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043478260869565216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,,,,,,,0.125,,,0.125,0.0625,,,,,,,,,0.125,,,,,0.0625,,,0.125,,0.0625,,,,,,,,,,,,,,0.0625,0.0625,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
