year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223
2015,0.0018557707960279995,0.001584459276140865,0.007390525801725541,0.01720115036084432,0.0038634760431927938,0.003353410385804981,0.011167182158554452,0.01338108416083347,0.010179608226165282,0.008454066959683109,0.012415215150035271,0.0024635086005751804,0.005317705789787835,0.004525476151717402,0.00692386998751967,0.007802919311953985,0.0027782299636442565,0.007216886428997775,0.006185902653426664,0.015681805849476368,0.0062835748005860325,0.005513050084106571,0.0033859677681914373,0.011644690433555809,0.013174887405719246,0.01389114981822128,0.001465082207390526,0.011731510119919691,0.005133213956264583,0.004742525367627109,0.004840197514786477,0.006185902653426664,0.003722394052851484,0.003516197297737262,0.0013782625210266427,0.001302295295458245,0.004330131857398665,0.001758098648868631,0.005589017309674969,0.004981279505127788,0.003635574366487601,0.0017472461880731456,0.004579738455694829,0.01100439524662217,0.012436920071626242,0.003885180964783765,0.013543871072765749,0.0023007216886428996,0.0027022627380758587,0.002398393835802268,0.005686689456834337,0.008063378371045635,0.0018232134136415433,0.00389603342557925,0.00678278799717836,0.005111509034673612,0.0063052797221770035,0.005296000868196864,0.010700526344348581,0.006229312496608606,0.0071626241250203485,0.011785772423897119,0.0018340658744370286,0.002517770904552607,0.0024092462965977536,0.0031906234738727007,0.014726789299473656,0.014357805632427154,0.010895870638667317,0.014629117152314287,0.0020619675511422213,0.0015410494329589233,0.010950132942644745,0.005013836887514244,0.004612295838081285,0.004840197514786477,0.0010635411579575668,0.0065006240164957405,0.008247870204568885,0.005426230397742688,0.0074339356449074825,0.0018015084920505724,0.004536328612512888,0.0015193445113679527,0.008812198165934126,0.0018340658744370286,0.006402951869336372,0.001844918335232514,0.0018123609528460578,0.003375115307395952,0.01628954365402355,0.00302783656194042,0.002680557816484888,0.009029247381843833,0.0029627217971675075,0.0032774431602365837,0.00215963969830159,0.001356557599435672,0.005686689456834337,0.00694557490911064,0.0012697379130717891,0.0021270823159151337,0.0023007216886428996,0.0012914428346627598,0.0013782625210266427,0.004916164740354875,0.00490531227955939,0.0012914428346627598,0.00633783710456346,0.0051549188778555535,0.0035270497585327474,0.0013457051386401866,0.0021270823159151337,0.004123935102284443,0.003136361169895274,0.0035596071409192036,0.0009007542460252862,0.0021487872375061047,0.005990558359107927,0.004134787563079928,0.0019642954039828533,0.001758098648868631,0.005447935319333659,0.003266590699441098,0.0029193119539855663,0.0019534429431873677,0.0029084594931900807,0.002105377394324163,0.0058169189863801615,0.0017906560312550871,0.0033859677681914373,0.0024309512181887242,0.002105377394324163,0.012317543002875903,0.002192197080688046,0.003201475934668186,0.001758098648868631,0.003722394052851484,0.005697541917629822,0.009897444245482664,0.0076509848608171905,0.0018015084920505724,0.0025394758261435783,0.0016495740409137771,0.002268164306256444,0.005230886103423951,0.004937869661945846,0.0023766889142112974,0.0027782299636442565,0.002387541375006783,0.0057409517608117645,0.001302295295458245,0.0012154756090943621,0.003049541483531391,0.0018123609528460578,0.003342557925009496,0.005230886103423951,0.0025828856693255195,0.003342557925009496,0.0023224266102338706,0.0024092462965977536,0.005968853437516957,0.00331000054262304,0.0019642954039828533,0.0034510825329643496,0.006663410928428021,0.003972000651147648,0.002137934776710619,0.009278853980139997,0.001844918335232514,0.004080525259102501,0.0015519018937544089,0.002398393835802268,0.0018340658744370286,0.003429377611373379,0.0028433447284171684,0.0012263280698898474,0.001465082207390526,0.00347278745455532,0.0029084594931900807,0.0038526235823973087,0.0020511150903467362,0.0026262955125074612,0.0031255087090997884,0.007900591459113353,0.0010418362363665962,0.001356557599435672,0.00302783656194042,0.005230886103423951,0.0018015084920505724,0.0012588854522763036,0.0010743936187530524,0.0034402300721688645,0.0012480329914808183,0.005762656682402735,0.0056215746920614245,0.0029844267187584786,0.0009116067068207716,0.0025503282869390634,0.004699115524445168,0.0035921645233056593,0.0012914428346627598,0.002365836453415812,0.0026262955125074612,0.0016821314233002333,0.004753377828422595,0.0038634760431927938,0.0012263280698898474,0.00187747571761897,0.004167344945466385,0.0007813771772749471,0.00215963969830159,0.0013457051386401866,0.0021813446198925605,0.003841771121601823,0.0032123283954636713,0.001324000217049216,0.0010201313147756253,0.0019425904823918824,0.0014759346681860112,0.0012805903738672744,0.003798361278419882,0.00924629659775354
2016,0.0017829575351699246,0.0015546519971298732,0.007077471679241591,0.016948968276401903,0.003696375377791307,0.003294122763149312,0.01137179013285208,0.013513513513513514,0.01056728490356809,0.008816942445261029,0.012567676284490443,0.0026635646104672655,0.005327129220934531,0.004457393837924812,0.0068926529103520255,0.008338587984605683,0.0026309495336044007,0.007186188602117806,0.00619686460394425,0.01662281750777326,0.006185992911656628,0.005914200604466091,0.0033158661477245546,0.011610967363179752,0.013035159052858169,0.013524385205801135,0.0014350633819660368,0.011241329825400622,0.004924876606292535,0.004750929529690592,0.004566110760801026,0.006653475680024353,0.0036202735317779565,0.0035332999934769844,0.0013372181513774434,0.00123937292078885,0.004283446761322867,0.0016959839968689527,0.005414102759235502,0.004924876606292535,0.0038811941466808724,0.0016742406122937097,0.0044139070687743255,0.011002152595072949,0.012317627361875149,0.0037724772238046573,0.014100584897045075,0.002283055380400513,0.002565719379878672,0.0024026439955643496,0.0055880498358374464,0.008610380291796222,0.00175034245830706,0.0037507338392294143,0.006381683372833815,0.005348872605509774,0.006620860603161488,0.005044465221456372,0.010817333826183384,0.006153377834793764,0.006870909525776782,0.011219586440825378,0.0017612141505946816,0.002413515687851971,0.0025113609184405643,0.003076688917396882,0.014328890435085125,0.014905090126329065,0.011263073209975865,0.015579135048161597,0.0020438781500728403,0.0015220369202670087,0.01042595290382901,0.004914004914004914,0.0048596464525668065,0.004761801221978213,0.0010436824596116632,0.006490400295710031,0.008577765214933357,0.0057946119893022546,0.007033984910091105,0.0017938292274575461,0.004468265530212433,0.0014459350742536583,0.008632123676371464,0.00196777630405949,0.006294709834532844,0.0019569046117718686,0.00175034245830706,0.003294122763149312,0.0160357461242417,0.002967971994520667,0.0026418212258920225,0.008860429214411516,0.002967971994520667,0.003141919071122611,0.0020982366115109476,0.0013263464590898219,0.005783740297014633,0.006588245526298624,0.001261116305364093,0.0021091083037985694,0.002250440303537649,0.0013046030745145789,0.0013372181513774434,0.005153182144332587,0.004729186145115348,0.0012937313822269576,0.006631732295449109,0.005370615990085017,0.0034028396860255267,0.0013154747668022004,0.0021308516883738124,0.004131243069296167,0.00298971537909591,0.0035332999934769844,0.0008697353830097193,0.0021199799960861907,0.006262094757669979,0.0040877563001456806,0.0019351612271966254,0.0018699310734708965,0.0054684612206736104,0.0031962775325607186,0.0029353569176578027,0.0019134178426213825,0.0028266399947815875,0.0020982366115109476,0.0062403513730947355,0.001772085842882303,0.0033158661477245546,0.0025983344567415364,0.002011263073209976,0.011784914439781696,0.0021852101498119197,0.0033810963014502837,0.0017068556891565742,0.003761605531517036,0.005490204605248853,0.010284620904089931,0.008066795677415146,0.0019134178426213825,0.0024896175338653213,0.001619882150855602,0.0023809006109891066,0.005131438759757344,0.004837903067991564,0.0023156704572633775,0.002739666456480616,0.0023374138418386205,0.006218607988519493,0.001261116305364093,0.0011632710747754996,0.0029571003022330457,0.0018481876888956535,0.0033593529168750406,0.005044465221456372,0.0026418212258920225,0.0034245830706007697,0.002250440303537649,0.0023374138418386205,0.005772868604727012,0.003239764301711204,0.0019134178426213825,0.0036637603009284426,0.006577373834011002,0.004033397838707573,0.002033006457785219,0.009730164597421235,0.0018699310734708965,0.003989911069557087,0.0015220369202670087,0.0022939270726881344,0.001880802765758518,0.0036094018394903352,0.002717923071905373,0.0013263464590898219,0.0014568067665412798,0.0036855036855036856,0.0028918701485073166,0.0038159639929551434,0.00196777630405949,0.0025765910721662934,0.00298971537909591,0.0074362375247331,0.0010654258441869062,0.0013807049205279294,0.0031527907634102325,0.00517492552890783,0.001772085842882303,0.001217629536213607,0.0010436824596116632,0.0033158661477245546,0.001195886151638364,0.005664151681850797,0.0057076384510012824,0.003098432301972125,0.0008914787675849623,0.0025548476875910504,0.0046965710682524845,0.0038703224543932507,0.00123937292078885,0.002239568611250027,0.002750538148768237,0.0015981387662803593,0.004544367376225784,0.003696375377791307,0.0011632710747754996,0.0018264443043204104,0.004424778761061947,0.0007827618447087474,0.0021417233806614337,0.0013154747668022004,0.0021525950729490554,0.003696375377791307,0.00320714922484834,0.001348089843665065,0.0010436824596116632,0.0019242895349090038,0.0014676784588289013,0.0013589615359526864,0.004120371377008545,0.009153964906177295
2017,0.0017333667651451559,0.0015153332097809853,0.006868056993971372,0.016526943496604128,0.0035648486302041885,0.003270503330462558,0.011741106956360584,0.014259394520816754,0.010858071057135692,0.008383390203752358,0.013256440166141569,0.0027472227975885487,0.005298215395349345,0.004393376140588037,0.007162402293713003,0.008579620403580112,0.00251828756445617,0.007489452626759258,0.006344776461097363,0.01696301060733247,0.00599592277251469,0.00607223451689215,0.0032596016526943495,0.011719303600824167,0.012885783122022479,0.013300046877214403,0.0014172181098671085,0.010847169379367484,0.004742229829170709,0.004818541573548169,0.004774934862475335,0.006628220083070784,0.0035866519857406056,0.003597553663508814,0.0013082013321850234,0.0012536929433439807,0.004240752651833117,0.001755170120681573,0.0052764120398129275,0.004873049962389212,0.0039791123853961125,0.001613448309694862,0.004480589562733704,0.011087006290268072,0.012177174067088925,0.0036956687634226906,0.013485375399273948,0.0023111556868602077,0.00273632111982034,0.002463779175615127,0.00554895398401814,0.00880855563671249,0.0016897600540723217,0.0036084553412770227,0.006639121760838993,0.005614364050627391,0.006410186527706614,0.004851246606852795,0.011119711323572697,0.006094037872428567,0.00666092511637541,0.010781759312758233,0.0017006617318405302,0.0023329590423966247,0.0026382060199064638,0.003226896619389724,0.014074065998757209,0.014204886131975712,0.011435859978850745,0.015992761285961908,0.002005908709350369,0.0014935298542445683,0.010868972734903901,0.0048294432513163775,0.004982066740071297,0.0046659180847932495,0.0010247577102116016,0.006682728471911827,0.008961179125467409,0.006083136194660358,0.006693630149680036,0.0017878751539861985,0.004382474462819828,0.0013736113987942744,0.008339783492679524,0.0020168103871185776,0.006181251294574235,0.0019950070315821605,0.0017878751539861985,0.003412225141449269,0.01562210424184282,0.002932551319648094,0.0025945993088336296,0.008557817048043695,0.002878042930807051,0.0030524697750983877,0.0020386137426549947,0.0012972996544168148,0.005832397605991562,0.006301169750024529,0.0012536929433439807,0.0021149254870324544,0.002191237231409914,0.0013082013321850234,0.0013300046877214404,0.005211001973203676,0.004818541573548169,0.0012972996544168148,0.006944368738348832,0.005538052306249932,0.0033032083637671837,0.0012972996544168148,0.0020931221314960374,0.0041208341963828235,0.0030088630640255536,0.00355394695243598,0.000828527510383848,0.0020713187759596203,0.006039529483587524,0.004011817418700738,0.0018968919316682837,0.0017878751539861985,0.005429035528567846,0.003292306685998975,0.002932551319648094,0.0018968919316682837,0.002769026153124966,0.0020604170981914117,0.006410186527706614,0.0017442684429133644,0.003270503330462558,0.002496484208919753,0.0019186952872047008,0.012264387489234594,0.002191237231409914,0.003226896619389724,0.001755170120681573,0.003826488896641193,0.0052764120398129275,0.01080356266829465,0.008405193559288775,0.0019514003205093264,0.0024310741423105016,0.0016897600540723217,0.002376565753469459,0.005069280162216965,0.004774934862475335,0.002376565753469459,0.0026709110532110894,0.002278450653555582,0.006192152972342444,0.0012427912655757721,0.001199184554502938,0.0028671412530388426,0.0018532852205954495,0.0033250117193036007,0.004916656673462046,0.0027036160865157146,0.0034667335302903117,0.0023111556868602077,0.002322057364628416,0.005570757339554557,0.003226896619389724,0.0019404986427411178,0.0037392754744955247,0.006377481494401988,0.004142637551919241,0.0019295969649729093,0.00924462274744083,0.0018968919316682837,0.003935505674323278,0.0014935298542445683,0.0024855825311515443,0.002005908709350369,0.003434028496985686,0.002605500986601838,0.0013736113987942744,0.0014390214654035256,0.0038155872188729845,0.0028235345419660085,0.0037392754744955247,0.0018750885761318666,0.002540090919992587,0.002997961386257345,0.007740191215428054,0.0010792660990526443,0.0014063164320989,0.0032159949416215154,0.005374527139726804,0.0017660717984497815,0.0011882828767347294,0.0010465610657480187,0.0034776352080585203,0.0011555778434301038,0.005603462372859183,0.0057996925726869365,0.003117879841707639,0.0008830358992248907,0.0025727959532972126,0.004774934862475335,0.004164440907455658,0.0012100862322711465,0.0021149254870324544,0.00273632111982034,0.0017333667651451559,0.004731328151402501,0.00355394695243598,0.0012754962988803977,0.001798776831754407,0.004306162718442369,0.0007958224770792224,0.0020931221314960374,0.0013082013321850234,0.0021367288425688715,0.0035430452746677715,0.0031723882305486817,0.0013954147543306914,0.0010683644212844358,0.0019295969649729093,0.001428119787635317,0.0014063164320989,0.004099030840846406,0.009190114358599788
2018,0.0016842013167392112,0.0014654738730068462,0.006693059778210372,0.015999912509022506,0.0034449572387847504,0.003291848028172095,0.012183118615892736,0.014884402545987444,0.011122290513790765,0.007775760624685579,0.013867319932631947,0.0028653295128939827,0.005216649533016908,0.004352676130274066,0.007425796714713795,0.008825652354600932,0.002438810997615871,0.007753887880312343,0.006496205078851244,0.01734508628797655,0.005774404514534439,0.006233732146372405,0.003215293422865767,0.011898772939040661,0.012729937225223649,0.013123646623941906,0.001367046523327282,0.010728581115072508,0.004669830923685995,0.004932303856164833,0.005172904044270434,0.006430586845731534,0.0035324482162776964,0.003641811938143879,0.0013123646623941906,0.0012686191736477176,0.004144885058728318,0.0017826286664187755,0.005194776788643671,0.004812003762112032,0.004090203197795227,0.0015639012226864105,0.004538594457446576,0.01122071786347033,0.012051882149653317,0.0036308755659572606,0.012675255364290558,0.0023075745313764517,0.0029528204903869286,0.002548174719482053,0.005533804326428837,0.009066252542706533,0.0016513922001793566,0.0034996390997178418,0.0070867691769286294,0.0058072136310942934,0.006004068330453422,0.004735449156805705,0.011472254423762549,0.005993131958266804,0.006539950567597716,0.010564535532273234,0.0016404558279927383,0.0023075745313764517,0.002734093046654564,0.0034558936109713684,0.013889192677005184,0.01328769220674118,0.011581618145628731,0.016481112885233712,0.001935737877031431,0.0014654738730068462,0.011395699818456222,0.004757321901178941,0.00514009492771058,0.004615149062752903,0.0009952098689822613,0.006813359872263173,0.009328725475185371,0.0062884140073054965,0.006529014195411098,0.0017935650386053938,0.00426518515278112,0.001323301034580809,0.007994488068417944,0.002088847087644087,0.006069686563573131,0.002056037971084232,0.001804501410792012,0.0034996390997178418,0.015114066361906429,0.0028872022572672194,0.00257004746385529,0.008191342767777074,0.002788774907587655,0.002996565979133402,0.0019576106214046676,0.0012686191736477176,0.0058837682364006215,0.006146241168879459,0.0012576828014610993,0.0021216562042039415,0.002143528948577178,0.001334237406767427,0.0013014282902075723,0.005347885999256326,0.004877621995231742,0.0013014282902075723,0.007228942015354667,0.005621295303921783,0.0032371661672390036,0.0012795555458343358,0.0020341652267109956,0.004057394081235372,0.0030184387235066383,0.003609002821584024,0.0008202279139963691,0.0020232288545243772,0.005665040792668256,0.003871475754062862,0.0018810560160983398,0.0016842013167392112,0.005336949627069708,0.003379339005665041,0.002920011373827074,0.0019138651326581946,0.002712220302281327,0.0020013561101511405,0.00658369605634419,0.0017388831776723025,0.003226229795052385,0.0023513200201229247,0.0018810560160983398,0.012828364574903214,0.0022419562982567425,0.0030621842122531113,0.0017826286664187755,0.003915221242809335,0.005118222183337343,0.011297272468776657,0.008628797655241802,0.0020013561101511405,0.002362256392309543,0.001804501410792012,0.0022966381591898333,0.005019794833657779,0.004691703668059231,0.0024278746254292527,0.0026028565804151445,0.0022528926704433604,0.00601500470264004,0.0012358100570878628,0.0012139373127146263,0.0028106476519608914,0.0018591832717251033,0.003269975283798858,0.004812003762112032,0.002701283930094709,0.0035105754719044597,0.002362256392309543,0.0023075745313764517,0.005435376976749273,0.0032371661672390036,0.001968546993591286,0.003816793893129771,0.006146241168879459,0.004254248780594501,0.0018482468995384852,0.008595988538681949,0.001924801504844813,0.003893348498436099,0.0014654738730068462,0.0026356656969749996,0.0020232288545243772,0.00325903891161224,0.0025372383472954353,0.0014107920120737549,0.0013998556398871367,0.003926157614995954,0.002712220302281327,0.003598066449397406,0.0018263741551652487,0.002482556486362344,0.002996565979133402,0.008224151884336927,0.0010936372186618256,0.0014217283842603732,0.003269975283798858,0.0055666134429886915,0.0017498195498589209,0.0011483190795949167,0.0010061462411688794,0.0036964937990769703,0.0011264463352216802,0.00557754981517531,0.0058837682364006215,0.0031606115619326755,0.0008421006583696056,0.0025809838360419082,0.004855749250858505,0.004483912596513485,0.001203000940528008,0.0020232288545243772,0.0026356656969749996,0.0018919923882849581,0.005041667578031016,0.0034449572387847504,0.0014107920120737549,0.0017498195498589209,0.0041339486865417,0.0008092915418097509,0.0020341652267109956,0.0012795555458343358,0.002099783459830705,0.0034449572387847504,0.003127802445372821,0.0014436011286336097,0.0010389553577287343,0.001935737877031431,0.0013889192677005184,0.0014326647564469914,0.003991775848115663,0.009186552636759333
2019,0.0016448630925619291,0.0014255480135536719,0.006623315386049368,0.015472678824032547,0.0033993837246279867,0.0032897261851238583,0.012676411566677266,0.015472678824032547,0.011283760814974833,0.007105808559867533,0.014463829460594563,0.002971719320561885,0.005088109832991568,0.004419198842016383,0.007708925027140241,0.008980952485388133,0.002423431623041242,0.007994034629850976,0.00666717840185102,0.01755617207461099,0.005526739991008082,0.006349171537289046,0.003147171383768491,0.012237781408660752,0.012599651289024377,0.013027315693090478,0.001337821981950369,0.010834164903007907,0.004671411182875879,0.005011349555338677,0.005570603006809733,0.006140822212231202,0.0035309727720329413,0.0036625618194378955,0.001272027458247892,0.0012829932121983048,0.004035397453751932,0.0018203151557685349,0.005142938602743632,0.004726239952627943,0.0041779522551073,0.0015352055530578005,0.004594650905222988,0.011579836171635981,0.011908808790148367,0.003596767295735418,0.011788185496693825,0.0024015001151404163,0.0031910343995701423,0.0025550206704461967,0.005592534514710559,0.00920026756439639,0.0016119658307106905,0.003454212494380051,0.007456712686280746,0.006085993442479138,0.00555963725285932,0.004726239952627943,0.011897843036197954,0.005888609871371706,0.006447863322842762,0.010592918316098824,0.0016010000767602776,0.002280876821685875,0.0028839932889585824,0.0036625618194378955,0.01376202120776814,0.012281644424462404,0.011667562203239284,0.0167118090204292,0.0018422466636693606,0.0014365137675040847,0.01188687728224754,0.004726239952627943,0.005296459158049412,0.004583685151272576,0.0009540205936859189,0.00697421951246258,0.009770486769817859,0.006393034553090698,0.006513657846545239,0.001798383647867709,0.004145054993256061,0.0013268562279999561,0.007588301733685699,0.002138322020330508,0.00594343864112377,0.0021054247584792692,0.0018312809097189478,0.003607733049685831,0.014617350015900343,0.002818198765256105,0.0025659864243966096,0.007796651058743544,0.0026537124559999122,0.002916890550809821,0.0019519042031734893,0.001261061704297479,0.005954404395074183,0.006140822212231202,0.0012500959503470661,0.0021054247584792692,0.0020944590045288564,0.0013487877359007819,0.0012939589661487175,0.0054499797133551915,0.004956520785586613,0.0012939589661487175,0.007654096257388177,0.0056473632844626235,0.0031581371377189037,0.001272027458247892,0.0019519042031734893,0.004046363207702346,0.0030155823363635366,0.003596767295735418,0.0008114657923305517,0.001973835711074315,0.005230664634346935,0.00371739058918996,0.001875143925520599,0.0015461713070082134,0.005219698880396521,0.0034322809864792254,0.002829164519206518,0.0019080411873718377,0.002664678209950325,0.0019299726952726635,0.00671104141765267,0.001732589124165232,0.003147171383768491,0.0022041165440329848,0.0018532124176197735,0.013290493787900388,0.0022479795598346363,0.002807233011305692,0.001809349401818122,0.0039586371760990426,0.005044246817189916,0.011930740298049192,0.008761637406379875,0.002050595988727205,0.002269911067735462,0.0019409384492230764,0.0021821850361321594,0.004923623523735375,0.0046056166591734015,0.0024892261467437194,0.002522123408594958,0.0022150822979833977,0.0057570208239667514,0.0012062329345454146,0.0012171986884958275,0.002763369995504041,0.001809349401818122,0.0031800686456197294,0.004759137214479182,0.0026975754718015638,0.003618698803636244,0.002423431623041242,0.002291842575636288,0.005351287927801476,0.003223931661421381,0.001984801465024728,0.0038928426523965657,0.005888609871371706,0.004309541302512254,0.001809349401818122,0.007829548320594782,0.0019409384492230764,0.003914774160297391,0.0014255480135536719,0.002818198765256105,0.002116390512429682,0.002982685074512298,0.002522123408594958,0.0014694110293553234,0.0013487877359007819,0.003980568683999868,0.002598883686247848,0.003454212494380051,0.001809349401818122,0.0024015001151404163,0.0030155823363635366,0.008651979866875747,0.0010856096410908733,0.0014694110293553234,0.0033445549548759227,0.005746055070016339,0.001732589124165232,0.0011185069029421117,0.0009759521015867446,0.003914774160297391,0.0011185069029421117,0.005625431776561798,0.005932472887173358,0.003202000153520555,0.0008443630541817902,0.0025659864243966096,0.004934589277685787,0.004803000230280833,0.0011623699187437633,0.001973835711074315,0.0024782603927933065,0.002017698726875966,0.0053074249119998244,0.0033993837246279867,0.0015352055530578005,0.001743554878115645,0.0038928426523965657,0.0008224315462809646,0.0019519042031734893,0.001272027458247892,0.0020615617426776177,0.003377452216727161,0.0030375138442643623,0.0015242397991073876,0.0010417466252892217,0.0019409384492230764,0.0013158904740495432,0.001491342537256149,0.0038270481286940884,0.009145438794644327
2020,0.0016075223236404876,0.0013763033592812393,0.0065071622826817,0.015051253537099633,0.0033141384891492245,0.003358180196646224,0.013344637371590896,0.015821983418297127,0.011351750107351661,0.006705349966418198,0.014908117987734384,0.003005846536670227,0.004998733800909461,0.004426191603448466,0.007883465641962939,0.00895147704876518,0.0023672417779637316,0.008191757594441936,0.006947579357651696,0.017495568303183114,0.005340057034011208,0.006364026733316451,0.003115950805412726,0.012474813648525153,0.012485824075399403,0.01291523072349515,0.0013102407980357398,0.010933353886130166,0.004657410567807714,0.00521894233839446,0.006044724353963203,0.005945630512094954,0.0035673783072569724,0.0036554617222509717,0.00129923037116149,0.00129923037116149,0.003919711967232969,0.0018497517148739857,0.00506479636215496,0.004657410567807714,0.004205983065963467,0.0015084284817722382,0.004646400140933464,0.011880250597315657,0.011847219316692909,0.003600409587879722,0.011208614557986413,0.002345220924215232,0.0035123261728857227,0.0025103773273289806,0.0056483489864902064,0.00917168558625018,0.0015855014698919877,0.003391211477268974,0.007861444788214439,0.005956640938969204,0.005240963192142959,0.004701452275304714,0.012529865782896403,0.005846536670226704,0.006364026733316451,0.010647082787399667,0.0015744910430177377,0.0022351166554727326,0.002862710987304978,0.003919711967232969,0.013630908470321394,0.01157195864483666,0.01168206291357916,0.01670281756823712,0.0017726787267542362,0.001409334639903989,0.012551886636644903,0.004679431421556214,0.005406119595256708,0.004525285445316715,0.0009138654305627429,0.0073109234445019435,0.009557050526848927,0.006617266551424199,0.0065071622826817,0.001805710007376986,0.004029816235975469,0.00128821994428724,0.007266881737004943,0.0021580436673529833,0.005868557523975204,0.0021470332404787333,0.0018607621417482355,0.0036664721491252218,0.01425850280215364,0.0027746275723109786,0.00258745031544873,0.007520121555112691,0.0025544190348259803,0.002873721414179228,0.001926824702993735,0.0012551886636644903,0.005978661792717704,0.006121797342082952,0.0012221573830417404,0.002080970679233234,0.0020919811061074836,0.0013322616517842396,0.00128821994428724,0.005527234290873457,0.004998733800909461,0.00128821994428724,0.0075751736894839414,0.005802494962729705,0.003093929951664226,0.0012772095174129901,0.0018827829954967353,0.003985774528478469,0.0030498882441672265,0.003600409587879722,0.0007927507349459939,0.0019158142761194852,0.004965702520286712,0.003600409587879722,0.0018607621417482355,0.0014643867742752386,0.0051198484965262105,0.0035013157460114727,0.002796648426059478,0.0018607621417482355,0.0026204815960714795,0.0018607621417482355,0.0067383812470409475,0.0017506578730057364,0.003126961232286976,0.0020919811061074836,0.001805710007376986,0.013972231703423143,0.0022461270823469826,0.002675533730442729,0.0018167204342512358,0.003941732820981469,0.004943681666538212,0.011759135901698909,0.00905057089063343,0.002080970679233234,0.002202085374849983,0.0021140019598559837,0.002069960252358984,0.004943681666538212,0.004613368860310715,0.0025544190348259803,0.002477346046706231,0.002213095801724233,0.005571275998370457,0.0012331678099159905,0.0012441782367902403,0.002708565011065479,0.0018167204342512358,0.003126961232286976,0.004701452275304714,0.002708565011065479,0.003534347026634223,0.0024883564735804805,0.002312189643592482,0.005273994472765709,0.0032921176354007244,0.0019928872642392347,0.003919711967232969,0.005670369840238706,0.004250024773460467,0.001794699580502736,0.007354965151998943,0.001937835129867985,0.003941732820981469,0.001398324213029739,0.002994836109795977,0.0021140019598559837,0.002818669279807978,0.0024883564735804805,0.0014974180548979884,0.00129923037116149,0.004117899650969468,0.0024993669004547306,0.003358180196646224,0.0017726787267542362,0.002323200070466732,0.002994836109795977,0.009094612598130429,0.0010900322605507415,0.0014423659205267387,0.0033802010503947238,0.005857547097100954,0.0017726787267542362,0.0011120531142992413,0.0009579071380597426,0.004216993492837717,0.0010900322605507415,0.005670369840238706,0.005978661792717704,0.003248075927903725,0.0008478028693172434,0.00260947116919723,0.0051088380696519605,0.00519692148464596,0.001167105248670491,0.001937835129867985,0.002334210497340982,0.002180064521101483,0.005604307278993206,0.003325148916023474,0.0016515640311374872,0.0017616682998799864,0.003732534710370721,0.0008037611618202438,0.0018937934223709854,0.0012551886636644903,0.0020149081179877343,0.0033141384891492245,0.002961804829173227,0.0014753972011494886,0.0010680114068022416,0.0019708664104907347,0.0012772095174129901,0.0014974180548979884,0.0036774825759994714,0.00890743534126818
