DATE,TICKER,PRICE,DIVIDENDS,MONTHLY_RETURN
2001-01,1301,935.2762451171875,0.0,
2001-02,1301,1021.5074462890625,0.0,0.09219864357943841
2001-03,1301,981.708251953125,30.0,-0.00959287606912318
2001-04,1301,1122.5555419921875,0.0,0.1434716370763356
2001-05,1301,987.3078002929688,0.0,-0.1204820043551662
2001-06,1301,1095.505859375,0.0,0.10958898435718334
2001-07,1301,980.5455322265625,0.0,-0.10493812165826644
2001-08,1301,933.2088012695312,0.0,-0.04827591315371349
2001-09,1301,933.2088012695312,0.0,0.0
2001-10,1301,953.4959716796875,0.0,0.021739154605654898
2001-11,1301,953.4959716796875,0.0,0.0
2001-12,1301,872.3472290039062,0.0,-0.08510653960375825
2002-01,1301,858.8226318359375,0.0,-0.015503685594796757
2002-02,1301,926.446533203125,0.0,0.0787402414193783
2002-03,1301,967.020751953125,30.0,0.07617732510260944
2002-04,1301,953.0642700195312,0.0,-0.014432453393999456
2002-05,1301,987.595703125,0.0,0.03623200889144762
2002-06,1301,918.5330200195312,0.0,-0.06993011703770802
2002-07,1301,890.9078369140625,0.0,-0.0300753293603766
2002-08,1301,842.56396484375,0.0,-0.05426360625333215
2002-09,1301,732.0637817382812,0.0,-0.13114753029576875
2002-10,1301,690.626220703125,0.0,-0.056603757853944114
2002-11,1301,759.6889038085938,0.0,0.10000008837654062
2002-12,1301,780.4078979492188,0.0,0.027272998245404523
2003-01,1301,932.3455200195312,0.0,0.194690010787409
2003-02,1301,946.1581420898438,0.0,0.014814917617690826
2003-03,1301,828.7515869140625,40.0,-0.08181143482505804
2003-04,1301,948.1630249023438,0.0,0.14408592378437723
2003-05,1301,962.421142578125,0.0,0.01503762254096519
2003-06,1301,1176.2923583984375,0.0,0.2222220671996007
2003-07,1301,1076.48583984375,0.0,-0.08484839490972929
2003-08,1301,1482.8414306640625,0.0,0.3774834519693211
2003-09,1301,1340.260498046875,0.0,-0.09615386356809263
2003-10,1301,1219.0667724609375,0.0,-0.09042549994016069
2003-11,1301,1076.48583984375,0.0,-0.11695908365163499
2003-12,1301,1204.80859375,0.0,0.1192052409392359
2004-01,1301,1304.6153564453125,0.0,0.08284034759800418
2004-02,1301,1290.3572998046875,0.0,-0.010928935160991804
2004-03,1301,1411.5509033203125,40.0,0.12492168141337578
2004-04,1301,1469.456298828125,0.0,0.04102253441346315
2004-05,1301,1302.1419677734375,0.0,-0.11386138613861385
2004-06,1301,1484.0054931640625,0.0,0.13966489821505235
2004-07,1301,1374.8873291015625,0.0,-0.07352948797369219
2004-08,1301,1382.161865234375,0.0,0.005291005291005346
2004-09,1301,1418.53466796875,0.0,0.02631587779207556
2004-10,1301,1447.6326904296875,0.0,0.02051273269380438
2004-11,1301,1476.730712890625,0.0,0.020100418188470526
2004-12,1301,1484.0054931640625,0.0,0.004926274106670014
2005-01,1301,1542.201416015625,0.0,0.03921543627677715
2005-02,1301,1636.770263671875,0.0,0.06132068527117207
2005-03,1301,1665.868896484375,0.0,0.01777808007534376
2005-04,1301,1702.2415771484375,0.0,0.02183405953543094
2005-05,1301,1855.006591796875,0.0,0.08974343988492306
2005-06,1301,1935.026611328125,0.0,0.04313732354650979
2005-07,1301,2044.14453125,0.0,0.05639091435904375
2005-08,1301,1862.2811279296875,0.0,-0.08896797684315527
2005-09,1301,1993.22314453125,0.0,0.07031270125533173
2005-10,1301,2029.5955810546875,0.0,0.018248050462002396
