年月,メーカー,件数,登録台数
2022-06,トヨタ,232,88289.0
2022-06,ホンダ,356,23301.0
2022-06,マツダ,49,8942.0
2022-06,日産,197,18502.0
2022-06,輸入車,28,28931.0
2022-06,ＳＵＢＡＲＵ,8,6153.0
2022-07,スズキ,921,7330.0
2022-07,ダイハツ,500,3741.0
2022-07,トヨタ,289,98744.0
2022-07,ホンダ,540,25178.0
2022-07,マツダ,54,12259.0
2022-07,三菱,18,5053.0
2022-07,日産,213,22553.0
2022-07,輸入車,54,20691.0
2022-07,ＳＵＢＡＲＵ,8,9332.0
2022-08,スズキ,580,7852.0
2022-08,ダイハツ,497,2586.0
2022-08,トヨタ,219,78295.0
2022-08,ホンダ,323,20997.0
2022-08,マツダ,46,9923.0
2022-08,三菱,8,3845.0
2022-08,日産,164,19085.0
2022-08,輸入車,26,20602.0
2022-08,ＳＵＢＡＲＵ,8,6348.0
2022-09,スズキ,939,10293.0
2022-09,ダイハツ,627,2990.0
2022-09,トヨタ,334,115163.0
2022-09,ホンダ,385,20896.0
2022-09,マツダ,76,12304.0
2022-09,三菱,7,4816.0
2022-09,日産,245,23128.0
2022-09,輸入車,74,32214.0
2022-09,ＳＵＢＡＲＵ,8,7921.0
2022-10,スズキ,1131,9017.0
2022-10,ダイハツ,747,3531.0
2022-10,トヨタ,436,109428.0
2022-10,ホンダ,490,19721.0
2022-10,マツダ,54,11655.0
2022-10,三菱,25,2555.0
2022-10,日産,205,16643.0
2022-10,輸入車,52,23392.0
2022-10,ＳＵＢＡＲＵ,10,7210.0
2022-11,スズキ,1090,9709.0
2022-11,ダイハツ,856,3398.0
2022-11,トヨタ,360,105748.0
2022-11,ホンダ,476,25768.0
2022-11,マツダ,35,7918.0
2022-11,三菱,16,3153.0
2022-11,日産,180,20283.0
2022-11,輸入車,46,28305.0
2022-11,ＳＵＢＡＲＵ,7,7426.0
2022-12,スズキ,630,9201.0
2022-12,ダイハツ,634,2600.0
2022-12,トヨタ,300,95139.0
2022-12,ホンダ,344,22036.0
2022-12,マツダ,45,8861.0
2022-12,三菱,6,3494.0
2022-12,日産,107,19054.0
2022-12,輸入車,46,30601.0
2022-12,ＳＵＢＡＲＵ,8,6836.0
2023-01,スズキ,910,10605.0
2023-01,ダイハツ,989,2909.0
2023-01,トヨタ,345,125642.0
2023-01,ホンダ,478,17199.0
2023-01,マツダ,43,11767.0
2023-01,三菱,7,3938.0
2023-01,日産,202,20388.0
2023-01,輸入車,44,20099.0
2023-01,ＳＵＢＡＲＵ,11,7544.0
2023-02,スズキ,1127,11090.0
2023-02,ダイハツ,1240,3449.0
2023-02,トヨタ,500,150876.0
2023-02,ホンダ,541,21456.0
2023-02,マツダ,72,13227.0
2023-02,三菱,16,3559.0
2023-02,日産,228,23945.0
2023-02,輸入車,28,24331.0
2023-02,ＳＵＢＡＲＵ,2,5611.0
2023-03,スズキ,1638,14418.0
2023-03,ダイハツ,1503,4378.0
2023-03,トヨタ,949,201031.0
