年月,UDトラックス,いすゞ,スズキ,ダイハツ,トヨタ,ホンダ,マツダ,三菱,三菱ふそう,日産,日野,輸入車,ＳＵＢＡＲＵ
2024-08-01,863.0,5536.0,8090.0,1833.0,106623.0,21952.0,6723.0,2897.0,2527.0,18727.0,3269.0,22953.0,6690.0
2024-09-01,1119.0,7921.0,10815.0,2919.0,130717.0,30518.0,9425.0,3748.0,2893.0,27722.0,4111.0,33080.0,9390.0
2024-10-01,945.0,5378.0,9230.0,2854.0,139765.0,24553.0,10527.0,3242.0,2993.0,21432.0,3456.0,27141.0,7616.0
2024-11-01,1062.0,6138.0,10194.0,1466.0,128185.0,24157.0,8875.0,4954.0,2970.0,22964.0,3554.0,27398.0,7925.0
2024-12-01,1116.0,6598.0,7986.0,1451.0,98922.0,21240.0,7049.0,4013.0,3699.0,18216.0,3267.0,30863.0,6326.0
2025-01-01,859.0,5345.0,11273.0,2161.0,124944.0,24389.0,9025.0,4148.0,1780.0,22186.0,3126.0,22669.0,7001.0
2025-02-01,959.0,6184.0,11699.0,2161.0,131390.0,28757.0,12349.0,4026.0,2261.0,23934.0,3320.0,26448.0,9267.0
2025-03-01,1784.0,9250.0,12545.0,2141.0,152354.0,38780.0,15156.0,5449.0,3461.0,31672.0,4415.0,40948.0,11963.0
2025-04-01,757.0,4879.0,8627.0,1484.0,118671.0,22015.0,7593.0,3047.0,2293.0,14335.0,2711.0,24091.0,6561.0
2025-05-01,834.0,4916.0,8428.0,1844.0,104457.0,19921.0,6702.0,3361.0,2446.0,15919.0,2457.0,25900.0,6338.0
2025-06-01,979.0,5942.0,9322.0,2385.0,124631.0,24063.0,8516.0,4235.0,2893.0,20229.0,2765.0,34477.0,7126.0
