,MKT_RF,SMB,HML,RF_US,JPY_USD,JPY_YIELD,FX_RETURN,JPY_YIELD_MONTHLY,MARKET_RETURN,MARKET_RETURN_FX_ADJUSTED,MKT_RF_JPY,SMB_JPY,HML_JPY,RF_JPY,TOPIX_RETURN
2010-01-31,-0.0097,-0.0005,-0.0042,0.0,,0.00126,0.0,0.0001049394112684,-0.0097,-0.0097,-0.0098049394112684,-0.0005,-0.0042,0.0001049394112684,0.0
2010-02-28,-0.0097,-0.0005,-0.0042,0.0,89.34,0.00126,0.0,0.0001049394112684,-0.0097,-0.0097,-0.0098049394112684,-0.0005,-0.0042,0.0001049394112684,-0.0077903271143562325
2010-02-28,0.0012,-0.0056,0.004,0.0,89.34,0.00136,0.0,0.0001132627502102,0.0012,0.0012,0.0010867372497897,-0.0056,0.004,0.0001132627502102,-0.0077903271143562325
2010-03-31,0.0012,-0.0056,0.004,0.0,93.27,0.00136,0.0439892545332436,0.0001132627502102,0.0012,0.0012527871054398,0.0011395243552296,-0.0058463398253861,0.0041759570181329,0.0001132627502102,0.09474334446451871
2010-03-31,-0.0036,-0.0051,0.002,0.0,93.27,0.00135,0.0,0.0001124304506039,-0.0036,-0.0036,-0.0037124304506039,-0.0051,0.002,0.0001124304506039,0.09474334446451871
2010-04-30,-0.0036,-0.0051,0.002,0.0,94.18,0.00135,0.0097566205639543,0.0001124304506039,-0.0036,-0.0036351238340302,-0.0037475542846341,-0.0051497587648761,0.0020195132411279,0.0001124304506039,0.008408149170194168
2010-04-30,-0.0172,-0.0097,-0.0086,1e-05,94.18,0.00138,0.0,0.0001149273265657,-0.01719,-0.01719,-0.0173049273265657,-0.0097,-0.0086,0.0001149273265657,0.008408149170194168
2010-05-31,-0.0172,-0.0097,-0.0086,1e-05,91.49,0.00138,-0.0285623274580592,0.0001149273265657,-0.01719,-0.0166990135909959,-0.0168139409175616,-0.0094229454236568,-0.0083543639838606,0.0001149273265657,-0.10994484611755762
2010-05-31,-0.0118,0.0011,-0.0069,1e-05,91.49,0.00127,0.0,0.0001057717794523,-0.01179,-0.01179,-0.0118957717794523,0.0011,-0.0069,0.0001057717794523,-0.10994484611755762
2010-06-30,-0.0118,0.0011,-0.0069,1e-05,88.66,0.00127,-0.0309323423324953,0.0001057717794523,-0.01179,-0.0114253076838998,-0.0115310794633522,0.0010659744234342,-0.0066865668379057,0.0001057717794523,-0.04223015502923788
