MONTH,top_25p,top_100p
2022-07,0.030489509714184487,0.03661121493521945
2022-08,0.05167952729798171,0.017255971941843494
2022-09,0.007154081430701281,-0.009758946502238922
2022-10,0.03835905873161052,0.029040914945221055
2022-11,0.04125502685937002,0.024471915875468223
2022-12,-0.03035295474919398,-0.017422445055269596
2023-01,0.03623048956473868,0.017981745729668694
2023-02,-0.007223542998129748,0.0019168908244429346
2023-03,0.02435912717363425,0.018489228200971226
2023-04,0.043658342383664964,0.04293427217261046
2023-05,0.005024784223982819,-0.005136857587095274
2023-06,0.04881580337230504,0.0449889410288973
2023-07,0.010154416666747913,0.012819225600005743
2023-08,0.022506347425768878,0.015231471942872082
2023-09,-0.028158649638827166,-0.02241935350946339
2023-10,-0.027158269235472106,-0.029597746173666523
2023-11,0.031556007427455304,0.029428897801633665
2023-12,0.018205088759984486,0.007898975196469551
2024-01,0.03369235026476689,0.029353963784520674
2024-02,0.014138113243384862,0.007099593342803077
2024-03,0.05011671047920789,0.029358327821730337
2024-04,-0.04366805756544381,-0.02888686456566692
2024-05,-0.011245853461964137,-0.002868347725699672
2024-06,0.03908233092327047,0.022444405760626136
2024-07,0.022588310566614016,0.01723960243736959
2024-08,0.020630541046821518,0.0025198530788501433
2024-09,0.028907741483991882,0.006100707878223629
2024-10,-0.014936109266771894,-0.011921713537301697
2024-11,0.009063338006904962,0.012560864214735755
2024-12,0.013841205797279172,0.012288018248002465
2025-01,0.012934536243403167,0.0154076967862166
2025-02,-0.023115884266768784,-0.02003789191906668
2025-03,0.0264268735684376,0.02022636513298145
2025-04,0.05508023602281279,0.045698001136635406
2025-05,0.014484971785750386,0.008755178972044787
2025-06,0.013672164299819338,0.008298714379696207
