MONTH,top_25p,top_100p
2015-01,0.018277577357774646,0.028316939842939155
2015-02,0.04745445487815142,0.03492995427067169
2015-03,0.043464165796311335,0.029785482045035495
2015-04,0.031736632359149586,0.023985243495646694
2015-05,0.0332437703771292,0.02606719123981468
2015-06,0.017585730938716022,0.017540246855095816
2015-07,0.025725967130930963,0.03676034471270135
2015-08,-0.025896909395752232,-0.0279463551380714
2015-09,-0.033940941037159486,-0.04177211585709244
2015-10,0.05118788997302271,0.055163462511844744
2015-11,0.021091004872707892,0.029048199495581073
2015-12,-0.009643974394388563,-0.0011834541290388209
2016-01,-0.045791334956352306,-0.03642747447369413
2016-02,-0.029471958557674323,-0.03931757153210787
2016-03,0.04283911265672134,0.04686461377670131
2016-04,0.002943916030396057,0.006587716315215598
2016-05,0.014917688030313188,0.032088059713573105
2016-06,-0.046247966274605985,-0.043358614444858626
2016-07,0.022549444511723707,0.03010626387921555
2016-08,-0.005976119841039537,-0.01672952194561382
2016-09,0.036585262297171794,0.04683185580029187
2016-10,0.042524110714992236,0.041149216828251664
2016-11,0.013365787347352866,0.016206124768846555
2016-12,0.022011915784039653,0.038814320099397955
2017-01,0.02318684466213887,0.014993364189862178
2017-02,0.04206736609825884,0.039430666342915546
2017-03,0.011150236586449095,0.014093767592915914
2017-04,0.0007305812288296428,0.009649075793860196
2017-05,0.03285423525084809,0.03954183021487835
2017-06,0.04262687632412146,0.023546382830146456
2017-07,0.014979886711846257,0.012017016660709137
2017-08,0.011756920060110157,0.013529243186521375
2017-09,0.026089263615644342,0.01995287531704532
2017-10,0.047766676027008584,0.03934977103710977
2017-11,0.018173896721735368,0.02476433171287208
2017-12,0.02530839257862401,0.02350441803539384
2018-01,0.01953753573410305,0.01359346361879189
2018-02,-0.028835690667947146,-0.029269090176301672
2018-03,-0.0063735650359951915,0.0026250891082466856
2018-04,0.03156943187547305,0.03144276099923819
2018-05,0.012440125243721673,0.0016092326578202656
2018-06,0.002335027630449489,-0.0029855818775620592
2018-07,0.0026223344818234124,-0.0072158803091573855
2018-08,-0.01840922513251457,-0.025297149324804213
2018-09,0.03434898233645921,0.039210772509935904
2018-10,-0.07843860524612545,-0.06809435944418003
2018-11,0.024411121003576508,0.025157907447608846
2018-12,-0.08970969589249364,-0.09039249546709759
2019-01,0.008854616089448666,0.015072404872863501
2019-02,0.04511878978677801,0.033955187263151755
2019-03,0.003996993110241285,0.004921597306558389
2019-04,0.019770014465999457,0.010743027882447562
2019-05,-0.043124151596368614,-0.04265844981638165
2019-06,0.020786797182064193,0.013408267154665171
2019-07,0.0223018859491989,0.014124323108222276
2019-08,-0.03398811091830319,-0.03816720512119376
2019-09,0.04557553473253827,0.04017694729847261
2019-10,0.049174680153518883,0.048319962064016495
2019-11,0.019241036528252833,0.013170763270278642
2019-12,0.017459833959725765,0.0058808119251076915
2020-01,0.08842673794622913,0.04043633563697154
2020-02,-0.11704245003583796,-0.10517776322920058
2020-03,0.02578288326815763,0.0297340593882192
2020-04,0.03315782605464619,0.023403487877424814
2020-05,0.06600831543079075,0.05659398465277653
2020-06,0.017699592979003385,0.0075670071926310905
2020-07,-0.04025460523613331,-0.0400853033966814
2020-08,0.07716299813006167,0.059800503715864844
2020-09,0.026585423840918217,0.03559281128538649
2020-10,-0.044684214900623125,-0.03831456513005182
2020-11,0.053408481308060675,0.04222883176717795
2020-12,-0.003372993492586435,0.011840738476156845
2021-01,0.04074607953791126,0.02437294770357245
2021-02,0.007059071739725338,-0.0007903760947720355
2021-03,0.05131841342282038,0.05732848450750744
2021-04,-0.026339764839518106,-0.02873722590503318
2021-05,-0.005952688151395346,-0.006865173588707127
2021-06,0.011902687058750989,0.017326497684441236
2021-07,-0.01703939634809752,-0.008421411968919372
2021-08,0.010771439942639589,0.01862430619198322
2021-09,0.021120434096374194,0.019415558400854648
2021-10,-0.023499608618028453,-0.018414478472825194
2021-11,-0.061718001738467324,-0.06237558580510187
2021-12,0.032826758922345864,0.027767553928372483
2022-01,-0.03158624388364788,-0.023622727468165374
2022-02,0.02852337867794753,0.01689326256949062
2022-03,0.011477488178717157,0.005392657425369452
2022-04,0.0025383224044183477,0.004017734978395717
2022-05,0.022023723761566333,-0.006995754943782718
2022-06,0.02608349042081997,0.030527137920500002
2022-07,0.017691660181747105,0.016514225409558877
2022-08,0.029113712935696708,0.005905904138060713
2022-09,-0.011372668422665646,-0.01189704104039507
2022-10,0.012405514061622746,0.01033577544275382
2022-11,0.02441139341549069,0.020662862012229707
2022-12,-0.007588076957167534,-0.007326821835363456
2023-01,0.010202035767105967,0.013605610322856787
2023-02,0.018959484201627897,0.01035689836642875
2023-03,0.020250820140686836,0.016457369118477883
2023-04,0.044241630324810245,0.04218618501030559
2023-05,-0.011928138810290576,-0.005194959354930889
2023-06,0.0365375184808685,0.035532303761802955
2023-07,0.015617014951949774,0.017617282868041213
2023-08,0.026105673942099922,0.03209539971069489
2023-09,0.018268941238138457,0.009157704650081127
2023-10,-0.020134274957120175,-0.00963546003086845
2023-11,0.037273620184022166,0.018108455860708386
2023-12,-0.0018291642195348951,0.002566814348417952
2024-01,0.01836513963209823,0.03659794249340109
2024-02,0.014380909909192337,0.006318391505916258
2024-03,0.03835337540559717,0.02741234526775204
2024-04,0.006868127496229229,0.007317945175957014
2024-05,0.016597008977821622,-0.001970531237116284
2024-06,0.02460123840232857,0.021158386568876694
2024-07,0.027312572760166652,0.02189761659508992
2024-08,-0.021050271205292147,-0.01132535677364791
2024-09,0.009402758681632511,0.011913014956270424
