Date,Year_Month,Recent_Alpha,Alpha_Volatility,volatility_factor,alpha_factor,combined_factor,base_stocks,score_based_stocks,min_stocks,max_stocks,final_stocks
2022-07-01,2022-07,0.005911996290494634,0.002162928257999349,0.6694734033097356,1.6069244673202636,1.1381989353149997,67,76.25932866610498,40,93,76
2022-08-01,2022-08,0.005707153208248383,0.0022782611029023643,0.651848883138336,1.585895313635503,1.1188720983869196,67,74.96443059192362,40,93,74
2022-09-01,2022-09,0.004800455490792233,0.0021359595826698965,0.6735946054073649,1.492813890348356,1.0832042478778605,67,72.57468460781665,40,93,72
2022-10-01,2022-10,0.00431914755900535,0.0018861009881248187,0.7117765980848225,1.4434029053336257,1.077589751709224,67,72.19851336451802,40,93,72
2022-11-01,2022-11,0.0043097695988807,0.0018687393912861592,0.7144297001907141,1.4424401656474803,1.0784349329190972,67,72.25514050557952,40,93,72
2022-12-01,2022-12,0.007078257227860966,0.007642635965104191,0.0,1.7266526037038321,0.8633263018519161,67,57.842862224078374,40,93,57
2023-01-01,2023-01,0.0099455361648198,0.008556225703532013,0.0,2.0,1.0,67,67.0,40,93,67
2023-02-01,2023-02,0.012509916014171833,0.008775877131631256,0.0,2.0,1.0,67,67.0,40,93,67
2023-03-01,2023-03,0.014980607579732347,0.007496538421457767,0.0,2.0,1.0,67,67.0,40,93,67
2023-04-01,2023-04,0.0171467497609271,0.005214619260021043,0.20313105593039082,2.0,1.1015655279651955,67,73.8048903736681,40,93,73
2023-05-01,2023-05,0.018957137684459262,0.001887952744557158,0.7114936230257947,2.0,1.3557468115128972,67,90.83503637136411,40,93,90
2023-06-01,2023-06,0.01808580783846475,0.0010967035701376687,0.8324078955115415,2.0,1.4162039477557706,67,94.88566449963663,40,93,93
2023-07-01,2023-07,0.0178092442605156,0.0009377902521332928,0.856692139787553,2.0,1.4283460698937764,67,95.69918668288302,40,93,93
2023-08-01,2023-08,0.017879974113250218,0.0010968912209660998,0.8323792197616834,2.0,1.4161896098808417,67,94.8847038620164,40,93,93
2023-09-01,2023-09,0.01789070388477278,0.0010944630676506192,0.8327502765679551,2.0,1.4163751382839775,67,94.8971342650265,40,93,93
2023-10-01,2023-10,0.0165655840947324,0.003823766097390917,0.4156734556331204,2.0,1.2078367278165603,67,80.92506076370954,40,93,80
2023-11-01,2023-11,0.015056501558801035,0.004788189719144839,0.26829563286572344,2.0,1.1341478164328618,67,75.98790370100174,40,93,75
2023-12-01,2023-12,0.013211548090723916,0.005880592097365439,0.10136081246461393,2.0,1.050680406232307,67,70.39558721756457,40,93,70
2024-01-01,2024-01,0.011420327944034985,0.00591146016244192,0.09664372743952865,2.0,1.0483218637197642,67,70.2375648692242,40,93,70
2024-02-01,2024-02,0.009207651692508366,0.004353323795192219,0.33474941066858865,1.9452558533791988,1.1400026320238936,67,76.38017634560087,40,93,76
2024-03-01,2024-03,0.007962787340358383,0.001686597131896372,0.7422636613435762,1.817458304684966,1.279860983014271,67,85.75068586195616,40,93,85
2024-04-01,2024-04,0.00775802004606435,0.0016033517356365131,0.7549847571146187,1.7964369313776394,1.2757108442461291,67,85.47262656449065,40,93,85
2024-05-01,2024-05,0.006329554196500851,0.003253955730697262,0.5027486882792058,1.6497908862464135,1.0762697872628095,67,72.11007574660823,40,93,72
2024-06-01,2024-06,0.005357087273898582,0.004136227688805342,0.36792482318325725,1.5499576082831121,0.9589412157331847,67,64.24906145412338,40,93,64
2024-07-01,2024-07,0.00466476408044075,0.004182227017501915,0.3608954630979725,1.4788838347629154,0.919889648930444,67,61.632606478339746,40,93,61
2024-08-01,2024-08,0.004510157281402367,0.004108989718379068,0.37208717745111153,1.463011928804292,0.9175495531277018,67,61.47582005955602,40,93,61
