Metric,Dynamic,Original
Total Return,37.698040624992444,43.35800522906612
Annual Return,15.909892981158213,18.085003238347742
Volatility,6.937711551961878,9.000832710329972
Sharpe Ratio,2.4010881834796516,2.1253318822928087
