LARGE_AREA_CODE_FROM_PREFECTURE,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-
1,87,99,105,116,118,116,130,147,176,192,167,164,165,199,177,134,99,89
2,148,168,184,203,192,191,219,252,290,305,275,287,308,349,291,219,165,151
3,709,741,752,834,1064,1116,1149,1255,1411,1601,1411,1156,988,1075,1084,891,583,438
4,175,198,217,232,233,234,257,288,339,381,329,300,310,355,334,263,172,155
5,93,105,114,124,123,118,131,146,178,195,166,158,165,191,184,139,95,90
6,298,331,347,369,393,403,431,469,537,612,524,457,426,477,484,392,257,205
7,393,428,453,504,543,510,537,588,692,819,703,608,560,648,680,555,363,282
8,141,157,166,176,177,171,188,208,242,271,221,209,221,256,257,193,133,124
9,67,75,80,86,79,77,89,102,123,134,111,110,121,141,140,101,72,72
10,307,335,339,348,334,322,368,418,464,483,419,420,460,525,448,330,246,223
