LARGE_AREA_CODE_FROM_PREFECTURE,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-
1,95,104,112,124,119,124,143,168,194,170,167,166,197,209,152,125,96,72
2,161,180,202,216,196,212,242,281,308,279,289,312,354,350,249,212,167,127
3,724,742,761,852,1004,1073,1214,1357,1585,1445,1233,1029,1081,1248,1009,760,500,331
4,190,213,235,244,221,247,279,325,381,335,311,309,356,384,294,222,161,133
5,102,112,122,131,119,127,142,169,196,169,162,165,189,217,155,122,94,77
6,322,344,362,380,366,417,459,515,614,536,482,437,473,552,438,335,231,166
7,414,445,478,526,524,524,574,660,812,719,638,570,640,779,625,471,320,217
8,154,165,173,183,170,181,201,232,273,227,214,222,256,295,221,169,131,106
9,73,79,87,91,77,84,99,116,135,113,112,120,140,162,113,91,74,62
10,325,339,347,365,324,343,399,446,490,425,422,455,525,529,367,308,238,188
