LARGE_AREA_CODE_FROM_PREFECTURE,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-
1,83,94,100,110,114,115,130,150,178,197,181,177,180,226,217,183,151,194
2,140,160,174,190,174,178,207,243,277,292,275,287,315,364,317,282,258,357
3,676,705,714,795,1029,1056,1086,1188,1333,1524,1319,1085,966,1120,1212,1088,799,908
4,167,188,206,221,205,202,230,266,315,355,313,294,310,368,357,305,234,331
5,88,100,108,114,109,106,122,140,168,187,165,158,169,201,201,169,142,211
6,286,314,331,348,361,357,390,434,504,579,500,450,431,507,533,467,349,433
7,374,408,430,485,541,513,542,604,711,839,729,636,594,714,789,698,515,621
8,135,151,155,167,164,159,180,203,237,267,227,216,230,272,290,245,198,292
9,63,71,77,81,75,74,87,102,120,136,117,116,128,153,156,129,109,164
10,293,320,324,334,328,328,378,431,476,497,452,449,488,560,508,434,377,537
