LARGE_AREA_CODE_FROM_PREFECTURE,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-
1,86,96,102,111,115,116,134,154,186,194,180,177,185,241,203,179,152,187
2,147,162,178,193,175,179,216,248,286,289,274,295,320,379,298,276,267,350
3,687,707,715,800,1017,1026,1102,1200,1382,1507,1268,1049,966,1215,1173,1033,789,865
4,171,193,210,223,205,206,238,274,329,349,309,296,315,389,338,289,236,326
5,92,102,110,118,110,110,125,143,177,183,163,160,172,215,188,163,146,207
6,293,320,332,350,358,356,401,440,528,570,487,444,433,549,509,443,351,417
7,381,414,434,493,538,510,555,612,749,829,709,623,597,786,752,661,514,596
8,140,153,157,170,165,160,185,206,248,260,222,218,232,298,273,234,204,284
9,66,74,77,81,74,75,91,103,127,131,116,120,130,165,145,123,112,162
10,301,323,323,336,330,332,390,435,488,489,446,459,497,588,473,425,383,524
