LARGE_AREA_CODE_FROM_PREFECTURE,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-
1,79,93,99,109,111,114,125,146,172,198,181,179,176,212,232,179,151,202
2,135,157,173,186,169,175,200,238,269,295,272,284,308,349,346,272,254,367
3,654,706,720,774,1031,1079,1076,1173,1295,1517,1354,1138,967,1051,1269,1068,822,965
4,158,186,204,216,204,201,225,261,305,356,318,299,302,350,383,299,237,340
5,86,99,108,113,107,106,119,137,161,189,165,161,164,190,217,166,141,214
6,273,310,330,341,358,358,382,427,485,578,508,464,427,476,561,458,358,450
7,360,406,429,471,543,515,533,591,683,833,744,664,591,668,826,688,527,652
8,130,151,156,163,163,160,174,199,227,269,232,218,226,256,305,243,197,297
9,60,71,75,78,73,72,83,99,116,136,118,118,125,146,165,127,106,167
10,283,319,327,327,327,327,366,425,465,502,454,449,479,540,549,421,374,552
