LARGE_AREA_CODE_FROM_PREFECTURE,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-
1,91,99,108,116,117,125,146,171,199,182,181,179,218,242,192,169,143,165
2,155,171,193,203,180,199,234,268,296,275,288,312,359,359,291,287,269,313
3,691,707,726,804,938,1014,1146,1280,1501,1348,1144,986,1086,1323,1135,912,705,734
4,182,203,222,227,202,220,256,302,355,318,301,305,356,394,317,266,235,298
5,97,108,116,122,108,119,135,161,190,166,162,166,194,224,176,158,148,189
6,307,329,344,359,343,376,423,482,579,508,466,433,488,581,486,402,331,370
7,397,424,455,507,518,531,590,681,832,743,665,599,685,855,728,584,475,516
8,146,156,164,173,161,173,198,226,268,231,219,228,262,316,259,220,206,259
9,68,76,83,86,72,83,98,115,136,118,120,127,147,171,134,120,115,148
10,311,325,330,348,328,358,418,462,502,453,452,482,550,570,446,418,383,475
